Sl,Name,Packing,Expiry,Qty,BillPrice,TValue
252,ELPIZYME DROP,30ML,Apr-25,18,17.92,322.56
253,PANTORE-D TAB,10S,May-25,20,12.32,246.4
254,HUNGERTIME SYP ORANGE,200ML,Jun-25,6,36.96,221.76
255,ALKAYES SYRUP 200ML,200ML,Apr-25,5,37.33,186.65
256,ELVEGRA-M TAB,10S,May-25,4,38.08,152.32
257,TRYPTOWIN-25MG TAB,10S,Apr-25,10,12.17,121.7
258,CLEANWAX EAR DROP,10ML,Nov-24,5,15.68,78.4
259,MEDICYES CEPODOXIME-200 TAB,10S,Jul-25,1,72.8,72.8
260,ALKAYES SYRUP 100ML,100ML,Aug-25,3,19.04,57.12
261,DROTIRON-M TAB,10S,May-25,3,16.8,50.4
262,VIZAGRA GO PRO TABLETS,4S,Aug-25,1,38.08,38.08
263,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
264,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
265,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
266,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
267,DICYNIL ING,2ML,Aug-25,6,24,55.25
268,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
269,COD CV SYP,30ML,Jul-25,44,165,14686.89
270,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
271,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
272,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
273,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
274,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
275,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
276,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
277,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
278,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
279,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
280,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
281,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
282,DOXICAP CAPS,10S,Nov-24,18,120,1311.71
283,DILTIAZEM 60 TABS,10S,May-25,8.9,60.08,1223.04
284,FERIC XT TAB 15S,15S,Nov-24,28,355,1054.87
285,CLOPIDER 75 TAB,10S,Jul-25,10.5,77.5,1028.52
286,THYRONEL 25 TAB,120T,Sep-25,62,143,849.3
287,RIMPACE 5 TAB,15s,Apr-25,10.7,146.1,839.82
288,CARVILOL 6.25 TAB,10S,Nov-24,7.7,48,833.9
289,ELVAS 2.5 TAB,10S,Nov-24,4,23,722.76
290,ALCO-QUIT 500 TABS,10S,Nov-24,27,125,637.56
291,BODYGROW SG,10S,Jan-25,8.5,160,609.38
292,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
293,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
294,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
295,DICYNIL ING,2ML,Aug-25,6,24,55.25
296,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
297,COD CV SYP,30ML,Jul-25,44,165,14686.89
298,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
299,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
300,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
301,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
302,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
303,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
304,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
305,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
306,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
307,NFACE CREAM 30GM(SUPER SAVER,30GM,Jul-25,5,67.87,339.35
308,ELPIZYME DROP,30ML,Apr-25,18,17.92,322.56
309,PANTORE-D TAB,10S,May-25,20,12.32,246.4
310,HUNGERTIME SYP ORANGE,200ML,Jun-25,6,36.96,221.76
311,ALKAYES SYRUP 200ML,200ML,Apr-25,5,37.33,186.65
312,ELVEGRA-M TAB,10S,May-25,4,38.08,152.32
313,TRYPTOWIN-25MG TAB,10S,Apr-25,10,12.17,121.7
314,CLEANWAX EAR DROP,10ML,Nov-24,5,15.68,78.4
315,MEDICYES CEPODOXIME-200 TAB,10S,Jul-25,1,72.8,72.8
316,ALKAYES SYRUP 100ML,100ML,Aug-25,3,19.04,57.12
317,DROTIRON-M TAB,10S,May-25,3,16.8,50.4
318,VIZAGRA GO PRO TABLETS,4S,Aug-25,1,38.08,38.08
319,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
320,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
321,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
322,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
323,DICYNIL ING,2ML,Aug-25,6,24,55.25
324,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
325,COD CV SYP,30ML,Jul-25,44,165,14686.89
326,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
327,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
328,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
329,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
330,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
331,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
332,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
333,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
334,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
335,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
336,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
337,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
338,DOXICAP CAPS,10S,Nov-24,18,120,1311.71
339,DILTIAZEM 60 TABS,10S,May-25,8.9,60.08,1223.04
340,FERIC XT TAB 15S,15S,Nov-24,28,355,1054.87
341,CLOPIDER 75 TAB,10S,Jul-25,10.5,77.5,1028.52
342,THYRONEL 25 TAB,120T,Sep-25,62,143,849.3
343,RIMPACE 5 TAB,15s,Apr-25,10.7,146.1,839.82
344,CARVILOL 6.25 TAB,10S,Nov-24,7.7,48,833.9
345,ELVAS 2.5 TAB,10S,Nov-24,4,23,722.76
346,ALCO-QUIT 500 TABS,10S,Nov-24,27,125,637.56
347,BODYGROW SG,10S,Jan-25,8.5,160,609.38
348,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
349,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
350,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
351,ASCOTOR ELX 100 MLSYP,100ML,Sep-25,18,118,3708.21
352,ELDERVIT TABS,15S,Sep-25,21,230,2858.86
353,TELNI M TABS,10S,Aug-24,30,145,2822.4
354,METFOR 1000SR TAB,15S,Aug-25,17.5,68,2779.68
355,DECA-ELBOLIN 25 ING,1S,May-25,11.5,265,2690.64
356,ELDIGESIC COLD N FLU TABS,10S,Mar-25,12.4,78,2509.65
357,BISACODYL TAB,10S,Mar-25,4.43,12.38,2411.21
358,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
359,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
360,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
361,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
362,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
363,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
364,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
365,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
366,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
367,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
368,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
369,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
370,ASCOTOR ELX 100 MLSYP,15s,Sep-25,18,118,3708.21
371,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
372,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
373,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
374,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
375,NUCACIUM SACHET,1 GM,Feb-25,800,5.32,4256
376,MEDICYES LEVETRON 500 TAB,10S,Aug-25,101,35.84,3619.84
377,FOAMING FACE WASH 150ML,150ML,Jun-25,15,165.2,2478
378,BABYLIVER DROP 30ML,30ML,Jul-25,108,20.16,2177.28
379,MOXIMIN D EYE DROPS,10ML,Aug-25,140,14.56,2038.4
380,EVEE 600 SG,10s,Jan-25,77,25.96,1998.92
381,NUTROVIT CAP,10S,Jun-25,80,24.5,1960
382,MEDICYES CALDIYES CCM TABLET,30S,Aug-25,26,61.36,1595.36
383,NUREX SF 100ML SYP,100ML,Mar-25,47,24.64,1158.08
384,GIOLIFE 12G,10S,Jun-25,20,53.1,1062
385,MINCOFOL 500 TAB,10s,Jul-25,70,15.12,1058.4
386,ROSID 10MG TAB,10S,Jun-25,60,16.8,1008
387,NUKIND ALOEVERA JUICE,500ML,Jan-25,9,91.72,825.48
388,ORTHOBST PAIN OIL 50ML,50ML,Aug-25,15,36.96,554.4
389,EVEE 600 SG,10s,Apr-25,20,25.96,519.2
390,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
391,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
392,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
393,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
394,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
395,NUCACIUM SACHET,1 GM,Feb-25,800,5.32,4256
396,MEDICYES LEVETRON 500 TAB,10S,Aug-25,101,35.84,3619.84
397,FOAMING FACE WASH 150ML,150ML,Jun-25,15,165.2,2478
398,BABYLIVER DROP 30ML,30ML,Jul-25,108,20.16,2177.28
404,MOXIMIN D EYE DROPS,10ML,Aug-25,140,14.56,2038.4
405,EVEE 600 SG,10s,Jan-25,77,25.96,1998.92
401,NUTROVIT CAP,10S,Jun-25,80,24.5,1960
402,MEDICYES CALDIYES CCM TABLET,30S,Aug-25,26,61.36,1595.36
403,NUREX SF 100ML SYP,100ML,Mar-25,47,24.64,1158.08
404,GIOLIFE 12G,10S,Jun-25,20,53.1,1062
405,MINCOFOL 500 TAB,10s,Jul-25,70,15.12,1058.4
406,ROSID 10MG TAB,10S,Jun-25,60,16.8,1008
407,NUKIND ALOEVERA JUICE,500ML,Jan-25,9,91.72,825.48
408,ORTHOBST PAIN OIL 50ML,50ML,Aug-25,15,36.96,554.4
409,EVEE 600 SG,10s,Apr-25,20,25.96,519.2
410,DREX-DX SYP,100ML,Dec-24,20,21.84,436.8
411,NFACE CREAM 30GM(SUPER SAVER,30GM,Jul-25,5,67.87,339.35
412,ELPIZYME DROP,30ML,Apr-25,18,17.92,322.56
413,PANTORE-D TAB,10S,May-25,20,12.32,246.4
414,HUNGERTIME SYP ORANGE,200ML,Jun-25,6,36.96,221.76
415,ALKAYES SYRUP 200ML,200ML,Apr-25,5,37.33,186.65
416,ELVEGRA-M TAB,10S,May-25,4,38.08,152.32
417,TRYPTOWIN-25MG TAB,10S,Apr-25,10,12.17,121.7
418,CLEANWAX EAR DROP,10ML,Nov-24,5,15.68,78.4
419,MEDICYES CEPODOXIME-200 TAB,10S,Jul-25,1,72.8,72.8
420,ALKAYES SYRUP 100ML,100ML,Aug-25,3,19.04,57.12
421,DROTIRON-M TAB,10S,May-25,3,16.8,50.4
422,VIZAGRA GO PRO TABLETS,4S,Aug-25,1,38.08,38.08
423,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
424,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
425,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
426,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
427,DICYNIL ING,2ML,Aug-25,6,24,55.25
428,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
429,COD CV SYP,30ML,Jul-25,44,165,14686.89
430,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
431,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
432,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
433,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
434,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
435,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
436,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
437,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
438,ASCOTOR ELX 100 MLSYP,100ML,Sep-25,18,118,3708.21
439,ELDERVIT TABS,15S,Sep-25,21,230,2858.86
440,TELNI M TABS,10S,Aug-24,30,145,2822.4
441,METFOR 1000SR TAB,15S,Aug-25,17.5,68,2779.68
442,DECA-ELBOLIN 25 ING,1S,May-25,11.5,265,2690.64
443,ELDIGESIC COLD N FLU TABS,10S,Mar-25,12.4,78,2509.65
444,BISACODYL TAB,10S,Mar-25,4.43,12.38,2411.21
445,CILADER 5 TAB,15S,Dec-24,9.75,97.5,2005.56
446,CTIN PLUS SYP,60ML,Jan-25,14,82,1987.44
447,LACTOLAC SYP 100ML,100ML,Jun-25,52,137.7,1984.89
448,ALCO-QUIT 250 TAB,10S,May-25,22.94,66,1765.76
449,TRAXANEL MF TABS,10s,Jan-25,65,499.6,1681.7
450,QUT 50MG TAB,10S,May-25,9.25,95,1654.16
451,DOMSTOP TABS,10S,Feb-25,2.7,25.7,1605.22
452,EL-BIOTIC CAPS,10S,Sep-25,25,115,1601.25
452,GLICADER 80 TAB,10S,Apr-25,16,60,1520.05
453,LIPIDER 10 TABS,15S,Nov-24,20,74,1426.88
454,DILTIAZEM 30 TABS,10S,Feb-25,7.7,29.7,1331.88
455,DOXICAP CAPS,10S,Nov-24,18,120,1311.71
456,DILTIAZEM 60 TABS,10S,May-25,8.9,60.08,1223.04
457,FERIC XT TAB 15S,15S,Nov-24,28,355,1054.87
458,CLOPIDER 75 TAB,10S,Jul-25,10.5,77.5,1028.52
459,THYRONEL 25 TAB,120T,Sep-25,62,143,849.3
460,RIMPACE 5 TAB,15s,Apr-25,10.7,146.1,839.82
461,CARVILOL 6.25 TAB,10S,Nov-24,7.7,48,833.9
462,ELVAS 2.5 TAB,10S,Nov-24,4,23,722.76
463,ALCO-QUIT 500 TABS,10S,Nov-24,27,125,637.56
464,BODYGROW SG,10S,Jan-25,8.5,160,609.38
465,TELMIS AMH TAB,15S,Sep-25,28,195,601.33
466,QUT 25 TABS,10S,Nov-24,6.76,75,596.71
467,LULIDER OINT 20GM,20GM,Feb-25,31,298,586.04
468,ELVAS 5 TAB,10S,Sep-25,5.2,35,423.99
469,PIKOLAX SYP,100ML,Nov-24,17.5,92,399.55
470,ELDERVIT GOLD SG,10S,Jan-25,9.5,210,399.02
471,ELDACTIN PLUS SYP,200ML,Jul-25,25.5,184,322.14
472,ITRA OC OINT,15GM,May-25,15,118,321.05
473,KETOSOL SHAMPOO,100ML,Aug-25,47,307,318.5
474,ZERODER TP4 TAB,10S,May-25,50,210,300.66
475,LYCOSURE RED SOFTGELS,10S,Jan-25,2,18.48,36.96
476,ESOPERA DSR CAP,10S,Aug-25,1,24.64,24.64
477,OFFCIP D EYE EAR DROP,10ML,Aug-25,2,12.32,24.64
478,TELNO 40MG TAB,10S,Aug-25,1,14.41,14.41
479,DICYNIL ING,2ML,Aug-25,6,24,55.25
480,ELCIPRO NF OINT,15GM,Aug-25,24,99,16358.16
481,COD CV SYP,30ML,Jul-25,44,165,14686.89
482,MONTE LC KID TABS,10S,Jul-25,15,92,7994.6
483,ULTIVITAL SG CAP,10S,May-25,8.5,240,6971.33
484,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
485,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
486,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
487,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
488,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
489,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
490,ASCOTOR ELX 100 MLSYP,15s,Sep-25,18,118,3708.21
491,BACIYES-SPORES SUSPENSION,5ML,Apr-25,1830,14.96,27376.8
492,VIZAGRA GO PRO TABLETS,4S,Aug-25,141,38.08,5369.28
493,MEDIFAIR CREAM,15GM,Feb-25,178,28,4984
494,MOXIBIN EYE DROP,5ML,Aug-25,359,13.59,4878.81
495,AMOXYCLAV DDS SUSPN,30ML,Jul-25,45,185,6614.96
496,ELDERVIT GOLD SG,10S,Aug-25,9.5,210,5034.85
497,CLOPIDER AV 75 TAB,10S,Sep-25,14,118,4912.64
498,CALAMYL LOTION,120ML,Sep-25,50,208,4531.41
499,ELDRAL 40 TABS,15S,Jun-25,28,51.4,4510
500,LIPIDER 40 TAB,10S,Nov-24,14.5,216,4402.93
